epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,10890,0.74177,0.35961,0.00149,0.62381,0.45673,0.52576,0.38871,1.09885,2.24403,0.00354,0.000851333,0.000851333,0.000851333
78,11032.5,0.74845,0.37321,0.00149,0.55588,0.47031,0.50341,0.37205,1.10673,2.23533,0.00354,0.000847611,0.000847611,0.000847611
79,11175.3,0.74365,0.37741,0.0015,0.58199,0.46552,0.51412,0.384,1.10113,2.27566,0.00356,0.000843851,0.000843851,0.000843851
80,11317.7,0.74737,0.37036,0.0015,0.53893,0.49487,0.50244,0.37117,1.1031,2.22475,0.00354,0.000840054,0.000840054,0.000840054
81,11460.2,0.74082,0.36015,0.0015,0.50892,0.48972,0.48274,0.35548,1.10458,2.42962,0.00356,0.00083622,0.00083622,0.00083622
82,11602.3,0.73646,0.35962,0.00147,0.58361,0.45607,0.49761,0.3702,1.08839,2.28449,0.00348,0.000832349,0.000832349,0.000832349
83,11746.7,0.73367,0.36794,0.00147,0.53723,0.45264,0.47764,0.35559,1.11223,2.34411,0.00354,0.000828443,0.000828443,0.000828443
84,11892.3,0.72459,0.35642,0.00146,0.5396,0.4772,0.50306,0.37978,1.10385,2.358,0.00358,0.000824502,0.000824502,0.000824502
85,12039,0.72365,0.35802,0.00146,0.5143,0.49133,0.50484,0.38064,1.11087,2.33268,0.0036,0.000820525,0.000820525,0.000820525
86,12185.8,0.72713,0.35723,0.00146,0.48582,0.48413,0.49485,0.37196,1.09593,2.35226,0.00358,0.000816514,0.000816514,0.000816514
87,12332.8,0.72645,0.35178,0.00144,0.55277,0.45074,0.49861,0.3759,1.0843,2.39019,0.00354,0.000812468,0.000812468,0.000812468
88,12479.4,0.72127,0.34638,0.00143,0.58009,0.45778,0.50453,0.37839,1.08243,2.40564,0.00352,0.000808389,0.000808389,0.000808389
89,12626.1,0.72162,0.34795,0.00145,0.55833,0.47203,0.50227,0.37465,1.09107,2.43772,0.00354,0.000804277,0.000804277,0.000804277
90,12772.8,0.7172,0.34805,0.00142,0.56502,0.46463,0.49859,0.37374,1.09392,2.46263,0.00356,0.000800131,0.000800131,0.000800131
