epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,3019.23,0.72497,0.39157,0.00145,0.46041,0.38962,0.33312,0.24348,1.18762,2.02495,0.00502,0.000894213,0.000894213,0.000894213
55,3074.37,0.74055,0.38,0.00147,0.47647,0.34274,0.29089,0.21001,1.1922,2.37483,0.00556,0.000890339,0.000890339,0.000890339
56,3129.94,0.73047,0.37132,0.00143,0.46381,0.41346,0.34405,0.25278,1.14622,1.87663,0.00471,0.000886404,0.000886404,0.000886404
57,3185.38,0.73011,0.39029,0.00143,0.45538,0.34434,0.29685,0.22177,1.18,2.29481,0.00502,0.000882409,0.000882409,0.000882409
58,3240.55,0.71785,0.36166,0.00139,0.50674,0.36494,0.32714,0.23791,1.23626,2.2738,0.0053,0.000878354,0.000878354,0.000878354
59,3296.09,0.73386,0.37031,0.00146,0.47712,0.3848,0.33276,0.23244,1.27904,2.04967,0.00528,0.000874241,0.000874241,0.000874241
60,3351.65,0.71576,0.36112,0.00142,0.49238,0.38037,0.35239,0.25111,1.23077,2.02975,0.00521,0.000870069,0.000870069,0.000870069
61,3406.72,0.72969,0.38159,0.00146,0.4655,0.34526,0.32198,0.22642,1.26447,2.25941,0.00509,0.000865839,0.000865839,0.000865839
62,3462.36,0.7034,0.35435,0.00138,0.46948,0.37958,0.31741,0.22017,1.28906,2.15652,0.0053,0.000861553,0.000861553,0.000861553
63,3517.46,0.72339,0.36339,0.00144,0.45882,0.41586,0.34403,0.24992,1.18545,1.89754,0.00513,0.00085721,0.00085721,0.00085721
64,3573.12,0.71475,0.34904,0.00141,0.48142,0.39623,0.33926,0.24619,1.15816,1.98549,0.00469,0.000852812,0.000852812,0.000852812
65,3628.08,0.68899,0.34439,0.00136,0.5017,0.34541,0.32619,0.23613,1.19592,2.28748,0.00486,0.000848358,0.000848358,0.000848358
66,3683.62,0.71494,0.33545,0.0014,0.47204,0.43289,0.35977,0.26271,1.15778,1.82599,0.00474,0.000843851,0.000843851,0.000843851
67,3739.12,0.71843,0.3595,0.00141,0.50008,0.36405,0.32633,0.22747,1.31093,2.1647,0.00556,0.00083929,0.00083929,0.00083929
68,3794.26,0.70056,0.34457,0.00137,0.45495,0.38784,0.31459,0.23158,1.16084,2.12,0.00488,0.000834676,0.000834676,0.000834676
69,3849.69,0.70287,0.33037,0.0014,0.4794,0.36395,0.31955,0.22884,1.22617,2.20512,0.00499,0.00083001,0.00083001,0.00083001
70,3905.19,0.69335,0.31982,0.00136,0.48576,0.3614,0.31855,0.2266,1.23116,2.26966,0.00515,0.000825293,0.000825293,0.000825293
71,3960.22,0.69537,0.33247,0.00138,0.52077,0.33361,0.32502,0.23319,1.20433,2.29843,0.00494,0.000820525,0.000820525,0.000820525
72,4016.07,0.70449,0.34197,0.00137,0.5143,0.39383,0.3496,0.25463,1.19688,1.9622,0.00497,0.000815707,0.000815707,0.000815707
73,4071.43,0.69754,0.33523,0.00138,0.48189,0.32969,0.29123,0.21445,1.15002,2.43826,0.00485,0.000810841,0.000810841,0.000810841
74,4126.99,0.70101,0.35331,0.00138,0.49854,0.35064,0.30412,0.22425,1.19301,2.38603,0.00512,0.000805925,0.000805925,0.000805925
75,4182.64,0.67013,0.31457,0.00131,0.49058,0.40204,0.33795,0.24849,1.16168,2.02449,0.00485,0.000800963,0.000800963,0.000800963
76,4237.84,0.66938,0.31176,0.00133,0.4799,0.40657,0.32839,0.2415,1.18009,2.00023,0.00484,0.000795954,0.000795954,0.000795954
77,4293.38,0.66616,0.33837,0.00132,0.44991,0.37425,0.31263,0.22537,1.23671,2.1337,0.00508,0.000790898,0.000790898,0.000790898
78,4348.87,0.69429,0.33154,0.00134,0.4786,0.38037,0.30974,0.22199,1.21422,2.21766,0.00523,0.000785798,0.000785798,0.000785798
79,4404.51,0.68266,0.31401,0.00134,0.47955,0.35263,0.29479,0.21126,1.25249,2.39769,0.00526,0.000780653,0.000780653,0.000780653
80,4459.62,0.67356,0.32423,0.00135,0.46114,0.39388,0.33395,0.24262,1.17848,2.05185,0.00482,0.000775465,0.000775465,0.000775465
81,4515.09,0.67466,0.32859,0.00131,0.44945,0.36716,0.3161,0.23144,1.17132,2.17908,0.00482,0.000770234,0.000770234,0.000770234
82,4570.62,0.66938,0.32226,0.00132,0.4793,0.36155,0.30912,0.22695,1.17696,2.27585,0.00485,0.000764961,0.000764961,0.000764961
83,4625.66,0.69322,0.33623,0.00137,0.48658,0.34558,0.31195,0.22404,1.23338,2.36144,0.00502,0.000759648,0.000759648,0.000759648
84,4681.28,0.66733,0.31099,0.00132,0.48359,0.31781,0.29433,0.21703,1.15941,2.49941,0.00478,0.000754293,0.000754293,0.000754293
85,4736.79,0.67201,0.32972,0.00132,0.49178,0.35734,0.31593,0.22721,1.25431,2.28627,0.00527,0.0007489,0.0007489,0.0007489
86,4791.87,0.67769,0.32474,0.00134,0.46978,0.3954,0.32954,0.24961,1.1335,2.08914,0.00467,0.000743468,0.000743468,0.000743468
87,4847.42,0.66029,0.31523,0.0013,0.51189,0.37286,0.33515,0.24533,1.17652,2.20085,0.00489,0.000737998,0.000737998,0.000737998
